epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1815.71,1.6037,2.43635,1.10907,1.29659,0.81129,0.67899,0.78204,0.42215,0.80451,0.6652,0.76578,0.3795,1.63978,2.54337,1.14832,1.34098,0.003466,0.003466,0.003466
68,1842.88,1.58001,2.40856,1.0551,1.31102,0.79153,0.71267,0.80125,0.45648,0.78867,0.70273,0.7915,0.41359,1.53881,2.44985,1.04335,1.30948,0.003367,0.003367,0.003367
69,1870.95,1.56684,2.39053,1.05064,1.31755,0.78555,0.71171,0.79893,0.45117,0.79217,0.69702,0.78694,0.40356,1.55266,2.4371,1.06206,1.31744,0.003268,0.003268,0.003268
70,1897.97,1.57517,2.40851,1.0732,1.30213,0.79485,0.68626,0.78317,0.44194,0.78883,0.66778,0.76034,0.39057,1.57007,2.48499,1.08592,1.33196,0.003169,0.003169,0.003169
71,1924.07,1.57428,2.38305,1.05126,1.28666,0.82085,0.73004,0.82402,0.47264,0.82022,0.72227,0.81126,0.42831,1.53464,2.45318,0.98202,1.29348,0.00307,0.00307,0.00307
72,1954.68,1.55291,2.38079,1.01601,1.29181,0.81713,0.7311,0.82508,0.47521,0.81088,0.72034,0.80772,0.42215,1.53457,2.40732,1.01311,1.30764,0.002971,0.002971,0.002971
73,1981.17,1.53372,2.33142,0.99505,1.2717,0.82544,0.70277,0.80744,0.46609,0.81938,0.69342,0.79106,0.4198,1.53762,2.42608,1.03621,1.31308,0.002872,0.002872,0.002872
74,2007.62,1.58233,2.38703,1.02756,1.29725,0.82822,0.73769,0.82735,0.47167,0.82509,0.72519,0.81056,0.42285,1.53396,2.40077,0.99023,1.30111,0.002773,0.002773,0.002773
75,2034.16,1.5533,2.35263,0.99623,1.29681,0.81934,0.72156,0.81227,0.46075,0.81121,0.70959,0.79447,0.4129,1.56362,2.43759,1.02314,1.31511,0.002674,0.002674,0.002674
76,2060.79,1.53246,2.33242,0.99231,1.29624,0.83064,0.74299,0.83479,0.47838,0.82266,0.73369,0.81935,0.43207,1.53171,2.39027,0.97895,1.28845,0.002575,0.002575,0.002575
77,2088.95,1.54755,2.354,0.98145,1.28321,0.82041,0.72596,0.81623,0.47208,0.81424,0.71383,0.79972,0.42211,1.53524,2.38277,1.0332,1.31676,0.002476,0.002476,0.002476
78,2116.25,1.5533,2.3471,1.00927,1.29294,0.81585,0.72217,0.81317,0.46447,0.81342,0.70974,0.79693,0.42045,1.54724,2.41905,1.0136,1.31493,0.002377,0.002377,0.002377
79,2143.73,1.54437,2.34611,1.00404,1.27706,0.81725,0.74004,0.82589,0.4751,0.81331,0.72731,0.81409,0.43262,1.52008,2.39831,0.98476,1.29213,0.002278,0.002278,0.002278
80,2171.53,1.5521,2.33665,0.99786,1.27901,0.81727,0.7392,0.82164,0.47189,0.80819,0.72959,0.80465,0.42559,1.52286,2.39725,0.98525,1.30051,0.002179,0.002179,0.002179
81,2199.19,1.53681,2.32402,0.97599,1.28649,0.81779,0.73277,0.82087,0.47578,0.80799,0.72398,0.80575,0.42877,1.50813,2.37626,0.97088,1.2891,0.00208,0.00208,0.00208
82,2225.28,1.50943,2.30238,0.96164,1.26213,0.81561,0.73778,0.82158,0.47592,0.81138,0.72292,0.80309,0.42544,1.51068,2.36955,0.98178,1.29023,0.001981,0.001981,0.001981
83,2253.16,1.51371,2.31928,0.97544,1.2831,0.82536,0.73913,0.83054,0.48041,0.82215,0.7276,0.81514,0.43653,1.51416,2.36606,0.97722,1.29111,0.001882,0.001882,0.001882
84,2280.27,1.51459,2.30001,0.96203,1.27597,0.83003,0.73125,0.82693,0.47329,0.82367,0.71898,0.80924,0.42809,1.5586,2.43882,0.99297,1.30348,0.001783,0.001783,0.001783
85,2306.86,1.5132,2.29686,0.95283,1.26892,0.82379,0.73729,0.82776,0.47921,0.82103,0.72247,0.80998,0.43265,1.5165,2.35871,0.97209,1.298,0.001684,0.001684,0.001684
86,2333.12,1.52991,2.30258,0.95072,1.27851,0.81782,0.74264,0.83028,0.47455,0.8212,0.72686,0.81778,0.42747,1.52844,2.38222,0.96506,1.29895,0.001585,0.001585,0.001585
87,2359.45,1.52515,2.31801,0.95731,1.26855,0.82409,0.73565,0.8315,0.48115,0.8171,0.72549,0.81444,0.43414,1.52258,2.36857,0.96608,1.28366,0.001486,0.001486,0.001486
88,2386.05,1.51182,2.28649,0.9493,1.25422,0.83237,0.74761,0.83789,0.48919,0.83612,0.7335,0.82508,0.44461,1.50232,2.33708,0.93324,1.27808,0.001387,0.001387,0.001387
